Codigo,Promedio_multianual,RANGO_PRECIPITACION
23010020,2701.3772482000177,6
23010080,1180.668954385114,3
23020080,3290.4937261822115,7
23020090,1883.6334003620382,4
23020100,3796.3144517671544,8
23025040,3767.28,8
23040070,4839.24735445978,10
23050080,3303.201747571317,7
23050100,2690.7806484632274,6
23050230,3158.1952826111537,7
23050250,4606.4513069696095,10
23055040,7407.361529412735,10
23055070,5120.048650064955,10
23060110,1847.7016887864345,4
23060140,1544.834043172998,4
23060150,2159.3394719772737,5
23060160,2495.7083522751955,5
23060170,2374.56006715642,5
23060180,2556.731346130757,6
23060190,1355.0237649962705,3
23060200,1951.3077017644566,4
23060260,1834.6838499781734,4
23060290,2399.9649999999997,5
23065120,1542.5402596156227,4
23070010,2966.054300733826,6
23070020,3900.399999999999,8
23080390,3555.7548738057644,8
23080640,1883.735,4
23080650,2879.05,6
23080720,2648.3364339039504,6
23080740,3159.43,7
23080750,4579.434724602733,10
23080760,3874.9800000000005,8
23080810,3011.8920841623926,7
23080820,4711.634814594404,10
23080920,2630.6400000000003,6
23080940,3723.960442930124,8
23085030,4746.335000000001,10
23085080,2278.2644104496085,5
23085110,2698.2483769850473,6
23085140,5487.605,10
23085160,2898.1950000000006,6
23085220,4788.838405995804,10
23085270,2086.0049999999997,5
23090020,2988.837977911589,6
23090110,3410.0324249054015,7
23100030,2542.975,6
23100040,3014.195576545786,7
23100050,2694.205,6
23100070,2693.257756032754,6
23105030,2261.7927011191377,5
23110030,2310.9241866358634,5
23110040,2815.5602823288427,6
23110060,2914.0707226401473,6
23120010,3848.324170003708,8
23120050,2657.345653271732,6
23120200,2942.6849999999995,6
23120210,3245.55,7
23120220,2196.671841659868,5
23120240,2024.784718749744,5
23120250,2222.093632946672,5
23125040,2568.9440565018513,6
23125050,2994.105697626713,6
23125060,2543.6257377442835,6
23125080,3390.7396720619427,7
23125090,2296.3170164518547,5
23125100,1579.6338110441397,4
23125120,3144.959266094632,7
23125130,3032.960053928623,7
23125140,3007.3826825847527,7
23125150,3023.6203743027104,7
23130010,2996.324827577362,6
23140070,2472.113185742305,5
23145020,2559.8217326606323,6
23155030,2981.4450000000006,6
23155040,2486.2526819834857,5
23160010,2995.9340201297045,6
23175020,3159.5211490982615,7
23180020,2902.0600131041965,6
23180040,2996.139511009291,6
23180050,2573.0384053638904,6
23180070,3170.585,7
23180080,2563.082200541422,6
23180100,2270.103658188232,5
23180110,3154.1871007721793,7
23180120,2835.2534738027016,6
23185010,2733.146717134791,6
23190110,2534.9357829502583,6
23190130,1272.0380398698428,3
23190140,1973.4949999999997,4
23190210,2459.535,5
23190260,1050.9603288439357,3
23190280,1043.9696506569858,3
23190300,1312.1648351347544,3
23190320,2775.8694473441005,6
23190340,902.5999999999998,2
23190350,1431.0549527368298,3
23190360,1955.69,4
23190380,1361.5510499331792,3
23190400,1779.725,4
23190440,1950.4430001021278,4
23190450,982.3107026851442,2
23190480,1628.9337485897697,4
23190500,2403.7164613650684,5
23190510,2331.4578475737426,5
23190520,2358.6280998492907,5
23190540,1821.302858063385,4
23190560,2652.7605987735797,6
23190580,1685.710081427189,4
23190590,1262.54,3
23190600,970.006210559188,2
23190700,1633.6200000000001,4
23190710,1990.94,4
23190810,2471.980820487557,5
23190830,1282.8850000000002,3
23195110,917.9496204754971,2
23195180,942.9141138005349,2
23195502,1184.27,3
23200010,1501.652479130138,4
23200060,2011.2329510490722,5
23205020,2727.535582094749,6
23205030,1816.7983917492033,4
23210010,1447.48,3
23210020,1775.4371831449148,4
23210120,1741.247427989542,4
23210130,1512.803837939059,4
23210160,1336.2001544088978,3
23215030,1300.3552234459453,3
23215050,3132.2268331604446,7
25020970,1690.614421997725,4
26155150,1435.4648189507682,3
